StockTypeID,StockGroupID,Value
Biomass: Coarse Root,Biomass: Belowground,
Biomass: Coarse Root,Biomass: Total,
Biomass: Coarse Root,Total Ecosystem,
Biomass: Fine Root,Biomass: Belowground,
Biomass: Fine Root,Biomass: Total,
Biomass: Fine Root,Total Ecosystem,
Biomass: Foliage,Biomass: Aboveground,
Biomass: Foliage,Biomass: Total,
Biomass: Foliage,Total Ecosystem,
Biomass: Merchantable,Biomass: Aboveground,
Biomass: Merchantable,Biomass: Total,
Biomass: Merchantable,Total Ecosystem,
Biomass: Other Wood,Biomass: Aboveground,
Biomass: Other Wood,Biomass: Total,
Biomass: Other Wood,Total Ecosystem,
DOM: Aboveground Fast,DOM: Belowground,
DOM: Aboveground Fast,DOM: Litter,
DOM: Aboveground Fast,DOM: Total,
DOM: Aboveground Fast,Total Ecosystem,
DOM: Aboveground Medium,DOM: Belowground,
DOM: Aboveground Medium,DOM: Deadwood,
DOM: Aboveground Medium,DOM: Down Deadwood,
DOM: Aboveground Medium,DOM: Total,
DOM: Aboveground Medium,Total Ecosystem,
DOM: Aboveground Slow,DOM: Belowground,
DOM: Aboveground Slow,DOM: Soil,
DOM: Aboveground Slow,DOM: Total,
DOM: Aboveground Slow,Total Ecosystem,
DOM: Aboveground Very Fast,DOM: Belowground,
DOM: Aboveground Very Fast,DOM: Litter,
DOM: Aboveground Very Fast,DOM: Total,
DOM: Aboveground Very Fast,Total Ecosystem,
DOM: Belowground Fast,DOM: Belowground,
DOM: Belowground Fast,DOM: Deadwood,
DOM: Belowground Fast,DOM: Down Deadwood,
DOM: Belowground Fast,DOM: Total,
DOM: Belowground Fast,Total Ecosystem,
DOM: Belowground Slow,DOM: Belowground,
DOM: Belowground Slow,DOM: Soil,
DOM: Belowground Slow,DOM: Total,
DOM: Belowground Slow,Total Ecosystem,
DOM: Belowground Very Fast,DOM: Belowground,
DOM: Belowground Very Fast,DOM: Soil,
DOM: Belowground Very Fast,DOM: Total,
DOM: Belowground Very Fast,Total Ecosystem,
DOM: Snag Branch,DOM: Aboveground,
DOM: Snag Branch,DOM: Deadwood,
DOM: Snag Branch,DOM: Standing Deadwood,
DOM: Snag Branch,DOM: Total,
DOM: Snag Branch,Total Ecosystem,
DOM: Snag Stem,DOM: Aboveground,
DOM: Snag Stem,DOM: Deadwood,
DOM: Snag Stem,DOM: Standing Deadwood,
DOM: Snag Stem,DOM: Total,
DOM: Snag Stem,Total Ecosystem,
