StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value
VANDENBERG MAIN BASE,Fire,Fire,1984,1984,1308.15
VANDENBERG MAIN BASE,Fire,Fire,1985,1985,0
VANDENBERG MAIN BASE,Fire,Fire,1986,1986,0
VANDENBERG MAIN BASE,Fire,Fire,1987,1987,0
VANDENBERG MAIN BASE,Fire,Fire,1988,1988,0
VANDENBERG MAIN BASE,Fire,Fire,1989,1989,473.84999999999997
VANDENBERG MAIN BASE,Fire,Fire,1990,1990,0
VANDENBERG MAIN BASE,Fire,Fire,1991,1991,0
VANDENBERG MAIN BASE,Fire,Fire,1992,1992,0
VANDENBERG MAIN BASE,Fire,Fire,1993,1993,286.46999999999997
VANDENBERG MAIN BASE,Fire,Fire,1994,1994,0
VANDENBERG MAIN BASE,Fire,Fire,1995,1995,0
VANDENBERG MAIN BASE,Fire,Fire,1996,1996,0
VANDENBERG MAIN BASE,Fire,Fire,1997,1997,757.98
VANDENBERG MAIN BASE,Fire,Fire,1998,1998,0
VANDENBERG MAIN BASE,Fire,Fire,1999,1999,0
VANDENBERG MAIN BASE,Fire,Fire,2000,2000,3027.6899999999996
VANDENBERG MAIN BASE,Fire,Fire,2001,2001,0
VANDENBERG MAIN BASE,Fire,Fire,2002,2002,3042.9
VANDENBERG MAIN BASE,Fire,Fire,2003,2003,0
VANDENBERG MAIN BASE,Fire,Fire,2004,2004,0
VANDENBERG MAIN BASE,Fire,Fire,2005,2005,0
VANDENBERG MAIN BASE,Fire,Fire,2006,2006,0
VANDENBERG MAIN BASE,Fire,Fire,2007,2007,0
VANDENBERG MAIN BASE,Fire,Fire,2008,2008,0
VANDENBERG MAIN BASE,Fire,Fire,2009,2009,0
VANDENBERG MAIN BASE,Fire,Fire,2010,2010,532.35
VANDENBERG MAIN BASE,Fire,Fire,2011,2011,0
VANDENBERG MAIN BASE,Fire,Fire,2012,2012,0
VANDENBERG MAIN BASE,Fire,Fire,2013,2013,0
VANDENBERG MAIN BASE,Fire,Fire,2014,2014,0
VANDENBERG MAIN BASE,Fire,Fire,2015,2015,0
VANDENBERG MAIN BASE,Fire,Fire,2016,2016,4162.32
VANDENBERG MAIN BASE,Fire,Fire,2017,2017,0
VANDENBERG MAIN BASE,Fire,Fire,2018,2018,0
VANDENBERG MAIN BASE,Fire,Fire,2019,2019,0
VANDENBERG MAIN BASE,Fire,Fire,2020,2020,0
VANDENBERG MAIN BASE,Fire,Fire,2021,2021,0
